stand,plot,treatment,basket,risk level,new risk level,basket type,comments,summer collection?
C1,1,P,A1,1,,2,"very slight slope, 1 m away from boulder, bottom of slope of plot",
C1,1,P,B2,1,,1,"very slight slope, 1 m from small boulder",
C1,1,P,C1,4,1,2,"in between two boulders in a divit, moved 1.5 m over onto a convex microslope",
C1,1,P,A3,2,1,1,"flat but close to small boulder, leaf build up in between, elevated above",
C1,1,P,C3,2,,2,bottom of slight slope,
C1,2,N,C3,3,1,3,"close to medium boulder, moved",
C1,2,N,B2,0,,1,convex,
C1,2,N,C1,2,,3,downslope,
C1,2,N,A1,3,0,2,"downslope, moved onto convex",
C1,2,N,A3,2,,1,"downslope, between 2 boulders but above them mostly",
C1,4,NP,C3,3,2,2,"in between two medium boulders, moved but still lots of boulders in this area",
C1,4,NP,B2,1,,3,relatively even slope,
C1,4,NP,C1,1.5,,3,some boulders around,
C1,4,NP,A1,1,,1,,
C1,4,NP,A3,1,,2,"very poorly draining because holes too small, fixed",
C1,3,C,A1,3,2,3,"downslope, now raised",
C1,3,C,C1,1,,3,,
C1,3,C,B2,2,,3,downslope,
C1,3,C,A3,2,,2,in slight divot,
C1,3,C,C3,2,1,1,"even slope but starting to get buried, now elevated",
C9,3,NP,A3,2,1,2,"slight slope, slight burial, changed after elevating",
C9,3,NP,C3,3,2,1,"in a depression between boulders, moved .5 m away",
C9,3,NP,B2,0,,1,on a little hill,
C9,3,NP,C1,2,,2,on a slope above a depression,
C9,3,NP,A1,3,2,1,"in a slight depression getting  buried, moved 1 m to slight hill",
C9,4,N,C3,2,,1,"on slope, boulders in area",
C9,4,N,A3,2,,1,"on slope, 1 m from boulder",
C9,4,N,B2,2.5,,2,"steep slope, leaf build up, steep everywhere so just moved build up and elevated, very poorly draining due to small draingage holes",
C9,4,N,A1,2,,1,on slope,
C9,4,N,C1,3,2,1,"in depression, likely fallen from orginial spot, moved back to original hill",
C9,2,P,C3,2,,2,"slope, leaf build up, poorly drainging from small drainage holes",
C9,2,P,B2,1,,3,"slight slope, slight burial",
C9,2,P,A3,4,2,1,"smooshed between 2 logs/fallen trees, moved 2.5m",
C9,2,P,A1,2,,1,"slight slope, some build up",
C9,2,P,C1,1,,2,relatively even slope,
C9,1,C,C3,1,,2,"slight slope, poor drainage from small holes",
C9,1,C,C1,2,1,1,"leaf build up, changed after elevation",
C9,1,C,A1,1,,2,"slight slope, poor drainage from small holes",
C9,1,C,B2,2,1,2,"in channel/depression, changed after elevation, poor drainage from small holes",
C9,1,C,A3,1,,1,on a little hill,
C6,2,C,C1,2,,2,"next to depression, poor drainage from small holes, was found moved (bear?)",
C6,2,C,B2,1,,2,"slight slope, poor drainage from small holes, found moved (bear?)",
C6,2,C,A1,2,,1,"slight slope, leaf build up",
C6,2,C,A3,1,,2,"slight slope, very poor drainage from small holes",
C6,2,C,C3,3,0,1,"in depression, buried, moved 1.5 to hill",
C6,4,P,A3,1,1,1,"slight slope, tree fell on basket so moved 2 m",
C6,4,P,A1,1,,3,"slight slope, poor drainage due to not enough holes",
C6,4,P,B2,1,,1,boulders in area,
C6,4,P,C3,2,1,1,"next to log, buried, changed when elevated",
C6,4,P,C1,1,,1,slightly buried,
C6,5,Ca,C1,3,0,1,"depression, buried, moved 1 m to hill",
C6,5,Ca,C3,2?,2,2,"behind tree, moved (bear?) so unsure of original location",
C6,5,Ca,B2,3,1,3,"depression, buried, moved 1.5m",
C6,5,Ca,A3,1,,3,slight slope,
C6,5,Ca,A1,1,,1,in between saplings,
C6,3,N,A3,3,1,2,"in depression near boulder, moved 5 m (due to boulder), likely pd sh",
C6,3,N,B2,1,,1 to 2,"slight slope, slight burial, basket replaced because hole in bottom",
C6,3,N,C3,3,1,1,"in small depression, buried, elevated",
C6,3,N,C1,2,,2,"slight, slope, buried, pd sh",
C6,3,N,A1,1,,1,,
C6,1,NP,A3,2,1,1,"slight burial, elevated,  leaves removed",
C6,1,NP,C3,1,,2,"slight slope, even ground, likely pd sh",
C6,1,NP,B2,1,,2,"slight slope, likely pd sh",
C6,1,NP,C1,3,1.5,1,"slight depression, burial, elevated",
C6,1,NP,A1,2,,1,"even slope, slight burial",
C2,1,NP,A3,1,,1,slight slope,
C2,1,NP,C3,2,,1,"on slope beside divot, slight burial",
C2,1,NP,C1,2,,1,"slight slope, slight build up",
C2,1,NP,B2,2,,1,"steep slope, slight build up",
C2,1,NP,A1,2,,3,"lots of beech in whole stand, slightly steep slope, slight build up",
C2,4,N,C3,2,,1,"slight depression, burial",
C2,4,N,B2,2,,1,"slope, build up",
C2,4,N,C1,2,,1,"slight depression, slight build up",
C2,4,N,A1,2,,1,"slope, build up",
C2,4,N,A3,3,2,1,"slight depression, burial, elevated",
C2,2,C,A3,2,,3,"slight depression, slight build up",
C2,2,C,C3,2,,3,"slight slope, slight build up",
C2,2,C,B2,1,,3,slight slope,
C2,2,C,A1,1,,2,"slight slope, tree fallen over that was removed",?
C2,2,C,C1,2,,3,"slight slope, build up",
C2,3,P,C3,2,,1,"slight depression, slight build up, dead tree overhanging that was removed",?
C2,3,P,B2,2,,3,"slight depression, build up",
C2,3,P,A1,3,2,1,"slight depression, burial, change after elevation",
C2,3,P,C1,3,2,1,"slight depression, burial, elevated, very poor drainage from too few holes",
C2,3,P,A3,0,,1,hill,
HBM,7,C,A1,1,,1,"slight slope, slight build up",
HBM,7,C,B2,1,,1,slight slope,
HBM,2,N,B1,1,,3,"slight slope, poor drainage due to dirt",
HBM,2,N,Center,1,,1,"slight slope, poor drainage from small holes",
HBM,2,N,A1,2,1,1,"build up, change due to elevation",
HBM,2,N,A2,3,2,1,"slight depression, build up, elevated",
HBM,2,N,B2,1,,1,behind tree,
HBM,3,C,A2,1,,1,build up,
HBM,3,C,Center,1,,3,slight slope,
HBM,3,C,A1,2,,1,"slope, boulder .5m away",
HBM,3,C,B2,1,,3,slope,
HBM,3,C,B1,2,,1,"slope, build up",
HBM,1,NP,B1,1,,1,slight depression,
HBM,1,NP,A1,1,,3,"entire stand very wet during rains, slight depression",
HBM,1,NP,A2,1.5,,1,small boulder .5m away,
HBM,1,NP,Center,2,,3,maybe in a runoff,
HBM,1,NP,B2,4,1,3,"next to sloped boulder, in water runoff, buried, moved 2.5m onto rock",
HBM,4,P,A1,1,,3,next to tree,
HBM,4,P,A2,1,,2,"slope, poor drainage from small holes",
HBM,4,P,Center,3,1,1,"depression, build up, trees fell on basket, moved 1m, liekly poor drainage due to small holes",?
HBM,4,P,B2,1,,2,"slight slope, against tree, very poor drainage due to small holes",
HBM,4,P,B1,2,1,1,"buried, chhange duw to elevation",
HBO,4,C,C1,1,1,1,"slight depression, tree on half the basket so moved to what seems like the original spot the basket was in on slope",
HBO,4,C,B2,3,1,1,"depresion, buried, moved .5 m between trees",
HBO,4,C,A3,1,,1,slope,
HBO,4,C,Y3,3,2,1,"in runoff, moved 1 m to inbetween runoffs",
HBO,4,C,A1,1,,2,"slope, poor drainage due to too few holes",
HBO,1,P,C3,1,,1,slight slope,
HBO,1,P,A3,2,,3,maybe runoff,
HBO,1,P,B2,3,2,1,"maybe runoff, poor drainage due to small holes",
HBO,1,P,A1,2,,1,"entire stand very wet during rains, slope, build up",
HBO,1,P,C1,2,,1,"slope, build up",
HBO,2,N,A3,1,,3,"slight slope, poor drainage due to too few holes",
HBO,2,N,C3,1,,3,"slight build up, poor drainage due to too few holes",
HBO,2,N,B2,2,1,3,"maybe in runoff, moved .5 m, poor drainage due to too few holes",
HBO,2,N,A1,2,2,1,"maybe runoff, moved .5 m",
HBO,2,N,C1,3,1,1,"buried, slight depression, change due to elevation",
HBO,3,NP,C1,2,,1,"build up, slight depression, poor drainage due to few holes",
HBO,3,NP,B2,2,,1 to 2,"slight depression, near small boulder, broken basket so replaced",?
HBO,3,NP,A3,1,,1,slope,
HBO,3,NP,C3,2,,1,"slope, slight build up",
HBO,3,NP,A1,4,1,1,"buried up to the top of basket on uphill side, moved 1m uphill",
JBO,1,NP,A3,2,,1,"slope, build up",
JBO,1,NP,A1,1,,1,"entire stand very wet during rains, flat, very wet",
JBO,1,NP,B2,1,,1,"slight slope, next to tree",
JBO,1,NP,C1,1,,1,"ridge, slight build up",
JBO,1,NP,C3,2,2,2 to 2,"slight slope, next to runoff/stream, moved 1m, basket broken so replaced",?
JBO,4,C,A3,1,,3,"maybe in runoff, poor drainage due to few holes",
JBO,4,C,B2,1,,1,slope,
JBO,4,C,A1,1,,3,"slight slope, next to tree",
JBO,4,C,C1,2,,1,"slight slope, build up",
JBO,4,C,C3,1,,1,"steep slope, poor drainage due to small holes",
JBO,2,P,C1,1,,1,slope,
JBO,2,P,C3,3,2,1,"right next to runoff stream, moved 1.5 m next to tree",
JBO,2,P,B2,3,2,1,"buried, maybe runoff, elevated",
JBO,2,P,A1,2,,2,"entire plot run off?, steep slope, maybe runoff, poor drainage due to too few holes",
JBO,2,P,A3,2,,1,"slight slope, maybe runoff",
JBO,3,N,C1,1,,1,relatively flat,
JBO,3,N,C3,1,,2,"slight depression, poor drainage from too few holes",
JBO,3,N,B2,1,1,1,"slight slope, dead tree overhanging corner of basket, basket moved .5 m",
JBO,3,N,A1,2,,1,"slope, slight build up, maybe runoff",
JBO,3,N,A3,2,,1,"slope, build up",
JBM,1,P,A2,2,,1,"slight depression, slight build up, poor drainage due to too few holes",
JBM,1,P,B2,2,,1,"slight depression, build up, maybe runoff, moved .5m",
JBM,1,P,center,1,,3,"flat, still wet, poor drainage due to too few holes",
JBM,1,P,A1,1,,1,"slope, moved 1 m because dead tree overhanging",
JBM,1,P,B1,1,,3,"slight slope, poor drainage due to too few holes",
JBM,2,N,A2,2,,2,maybe runoff,
JBM,2,N,Center,2,,1,maybe runoff,
JBM,2,N,B2,2,,2,maybe runoff,
JBM,2,N,B1,2,,1,maybe runoff,
JBM,2,N,A1,3,2,1,"entire plot maybe runoff, next to runoff, moved 2 m",
JBM,3,C,B2,2,,2,"maybe runoff, poor drainage due to small holes",
JBM,3,C,B1,1,,2,"slope, poor drainage",
JBM,3,C,Center,1,,1,hill,
JBM,3,C,A2,2,,,"build up, maybe runoff",
JBM,3,C,A1,2,,2,"entire plot runoff, slope, maybe runoff, poor drainage due to too few holes",
JBM,4,P,B2,2,,1,"slope, build up, against tree",
JBM,4,P,Center,2,,2,maybe runoff,
JBM,4,P,B1,2,,1,"slope, maybe runoff",
JBM,4,P,A1,2,,2,"slope, maybe runoff",
JBM,4,P,A2,2,,1,"slope, buildup",
C8,4,NP,C1,1,,1,slight slope,
C8,4,NP,B2,2.5,1,1,"slope, build up, moved 1m onto rock",
C8,4,NP,A1,3,1.5,2,"depression, buried, then elevated, very poor drainage due to small holes",
C8,4,NP,A3,3,2,1,"slope, build up almost to top of basket, moved 1 m",
C8,4,NP,C3,2,1,1,"slight slope, build up, elevated",
C8,5,Ca,A1,1,,3,slope,
C8,5,Ca,C1,1?,1,3,"rating unsure because a big tree fell on top of the basket, moved 2m",
C8,5,Ca,B2,0,,2,"slight hill, very poor drainage due to both small holes and too few holes",
C8,5,Ca,A3,1,,3,slight slope,
C8,5,Ca,C3,2,,1,"slight slope, slight build up",
C8,2,C,A1,2,,3,slight depression,
C8,2,C,B2,2,,1,build up,
C8,2,C,A3,2.5,1.5,1,"build up, change due to elevation",
C8,2,C,C3,1,,2,"relatively flat, elevated already, poor drainage due to both small and too few holes",
C8,2,C,C1,2,,1,"slight slope, slight build up",
C8,3,N,A3,2,,1,"slight slope, build up",
C8,3,N,B2,2,,1,"slope, slight build up",
C8,3,N,A1,3,1,2,"slope, build up almost to lip of basket, moved .25m uphill and elevated",
C8,3,N,C1,1,,1,slight build up,
C8,3,N,C3,1,,1,slight slope,
C8,1,P,C1,2.5,1,1,"slight depression, buried, changed when elevated",
C8,1,P,B2,1,,2,"relatively flat, very poor drainage due to small holes",
C8,1,P,C3,1,,2,slight build up,
C8,1,P,A3,1,,2,slight build up,
C8,1,P,A1,1,,1,slight hill,
C4,1,NP,A3,1,,2,"slight slope, poor drainage due to too few holes",
C4,1,NP,B2,2,,2,"slight slope, slight build up",
C4,1,NP,A1,2,,1,slight slope slight build up,
C4,1,NP,C1,1,,1,slight build up,
C4,1,NP,C3,1,,3,"slope, tree on one corner that was removed, poor drainage due to too few holes",?
C4,2,N,A3,2,,1,"slight slope, slight build up",
C4,2,N,A1,0,,2,slight hill,
C4,2,N,B2,1,,2,"slope, very poor drainage due to small holes",
C4,2,N,C3,2,,2,"slight slope, slight builld up, very poor drainage due to small holes",
C4,2,N,C1,1,,3,"slight slope, very poor drainage due to too few holes",
C4,3,C,A3,2,,2,"tipped when found, slight depression, very poor drainage due to small holes",?
C4,3,C,B2,1,,3,"slight build up, very poor drainage due to too few holes",
C4,3,C,A1,2,,1,"slight depression, slight build up, tree on corner of basket removed",?
C4,3,C,C1,2,,1,"slight slope, slight build up",
C4,3,C,C3,2.5,1.5,1,"slight depression, build up, changed when elevated",
C4,4,P,A3,1,,2,"slight slope, very poor drainage due to small holes",
C4,4,P,B2,1,,2,"slight slope, near tree, likely ppoor drainage due to small holes",
C4,4,P,C3,1,,2,"slight build up, likely poor drainage due to small holes",
C4,4,P,C1,1,,1,relatively flat,
C4,4,P,A1,1,,2,"slight slope, slight build up, poor drainage due to too few holes",
C7,4,C,A3,0,,2,"slight hill, poor drainage due to small holes",
C7,4,C,A1,4,1,2,"next to boulder, moved 1.5m",
C7,4,C,B2,0,,2,slight hill,
C7,4,C,C1,2,,1,slight slope slight build up,
C7,4,C,C3,1,,1,slight slope,
C7,3,P,C1,1,,2,"relatively flat, poor drainage due to small holes",
C7,3,P,A1,2,,2,"slight slope, slight build up, poor drainage due to too few holes",
C7,3,P,B2,1,,2,relatively flat,
C7,3,P,C3,2,,1,slight burial,
C7,3,P,A3,2.5,1,2,"burial, next to tree, changed after elevation, poor drainage due to too few holes",
C7,2,NP,A1,1,,1,relatively flat,
C7,2,NP,B2,2,,2,"Build up, poor drainage due to small holes",
C7,2,NP,A3,1,,2,"Relatively flat, poor drainage due to small holes",
C7,2,NP,C3,1,,1,Relatively flat,
C7,2,NP,C1,2.5,1,1,"Slight slope, slight burial, near medium boulder, moved 1m",
C7,1,N,A1,1,,1,Relatively flat,
C7,1,N,B2,3,2,1,"Build up close to lip of basket, slope, changed due to elevation",
C7,1,N,A3,1,,1 under tree 3 now in use ,"Both old basket under tree and new basket next to it, at top of slope",
C7,1,N,C3,2,,1,"Slight slope, slight build up",
C7,1,N,C1,2,,1,"Slight slope, slight build up",